time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2024-04-20 15:32:32.424 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3234176824,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,393625616, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:33:32.426 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3234164536,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,394431104, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:34:32.429 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3234086712,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,394818600, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:35:32.430 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3234004792,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,395253712, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:36:32.432 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3234062136,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,398906072, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:37:32.435 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3234041656,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,399211584, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:38:32.437 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3234025272,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,399599080, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:39:32.438 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3234008888,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,399984024, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:40:32.440 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3233943352,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,402326600, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:41:32.442 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3233922872,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,402714096, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
